municipio,numero_escolas_trabalha,tipo_escola,niveis_escola,idade,sexo,formacao,area_ed_inf,area_ef_finais,area_ef_iniciais,area_ens_medio,area_ens_tec,contrato,tempo_escola,tempo_profissao,hrs_semanais,numero_professores,supervisiona,licenca_2semanas,licenca_ano,quantotempo,scv,saude,exaustao
Chapada,2,2,3,45,2,1,0,0,0,1,0,1,11,25,25,54,1,1,2,2,4,3,2
Erechim,1,1,2,55,2,2,0,1,0,0,0,1,19,22,20,52,1,1,1,,5,3,2
Marau,1,,,60,2,2,0,0,1,0,0,1,18,38,20,38,1,1,2,9,7,3,2
Getúlio Vargas,2,1,1,34,2,2,1,1,0,0,0,1,5,5,40,33,1,1,1,,6,3,2
Erechim,2,1,1,30,2,1,1,0,0,0,0,1,2,,20,33,1,1,1,,6,3,2
Sananduva,1,1,2,38,1,1,0,1,1,0,0,1,14,14,,27,1,1,1,,4,3,2
Marau,1,1,1,60,2,1,1,0,0,0,0,1,8,36,40,26,1,1,1,,7,3,2
Tapera,1,1,2,32,2,5,1,0,1,0,0,1,6,11,44,21,1,1,1,,5,3,2
Espumoso,1,1,2,58,2,1,1,0,0,0,0,1,5,27,36,20,1,1,1,,6,3,2
Espumoso,1,1,2,52,2,1,1,0,0,0,0,1,"0,5",22,40,20,2,1,1,,7,3,2
Passo Fundo,2,1,2,41,2,2,0,1,0,0,0,1,14,19,50,20,1,1,1,,5,3,2
Passo Fundo,1,1,2,34,2,2,0,0,1,0,0,1,2,13,40,20,1,1,1,,5,3,2
Marau,1,1,1,27,2,2,1,0,0,0,0,2,5,6,16,20,1,1,1,,4,3,2
Tapejara,2,1,2,23,2,7,0,0,1,0,0,3,"1,5","5,5",20,20,1,1,1,,6,3,2
Estação,1,1,2,35,2,2,1,0,0,0,0,1,4,8,22,19,1,1,1,,6,3,2
Tapejara,1,1,1,54,2,,1,0,0,0,0,1,23,23,30,18,1,1,2,5,7,3,2
Tio Hugo,1,1,2,51,2,1,1,0,1,0,0,1,6,24,20,17,1,1,2,140,5,3,2
Passo Fundo,1,1,1,50,2,2,1,0,0,0,0,1,"1,2","1,6",30,15,1,1,1,,6,3,2
Marau,2,1,1,37,2,2,1,0,1,0,0,1,"0,5",17,40,10,1,1,2,10,5,3,2
Passo Fundo,2,1,1,36,2,2,1,0,1,0,0,1,3,7,52,10,1,1,1,,7,3,2
Passo Fundo,1,1,1,36,1,1,0,0,0,0,0,1,5,5,44,8,1,1,1,,7,3,2
Tapera,,,,,2,5,1,0,0,0,0,1,2,3,4,8,,1,1,,5,3,2
Erechim,1,1,2,49,2,1,0,0,1,0,0,1,14,,20,137,1,1,1,,6,2,2
Chapada,1,2,3,51,2,1,0,1,0,0,0,1,18,,20,54,1,1,1,,3,2,2
Ibirubá,1,1,2,68,2,2,0,1,0,0,0,1,40,40,20,49,1,2,2,12,7,2,2
Marau,2,1,2,34,2,2,0,1,0,0,0,1,4,10,40,47,1,1,1,,6,2,2
Marau,2,1,2,41,2,1,0,1,0,1,0,1,6,6,32,47,1,1,2,25,6,2,2
Marau,2,1,2,45,2,2,0,1,1,0,0,1,,24,40,42,1,1,2,3,3,2,2
Passo Fundo,1,1,2,51,2,2,0,0,1,0,0,1,4,16,20,39,2,1,1,,7,2,2
Erechim,1,1,1,42,2,2,1,0,0,0,0,1,1,23,8,22,1,1,1,,5,2,2
Espumoso,1,1,2,48,2,1,1,0,0,0,0,1,26,28,16,21,1,1,1,,6,2,2
Espumoso,1,1,1,48,2,1,1,0,0,0,0,1,5,21,40,17,1,1,2,1,6,2,2
Selbach,1,1,2,33,2,3,0,1,0,0,0,1,5,,20,17,2,1,1,,6,2,2
Erechim,2,1,3,33,2,7,0,0,1,0,0,1,2,,20,15,1,1,1,,6,2,2
Taquaruçu do Sul,1,,,50,2,1,1,0,0,0,0,1,28,28,22,14,1,2,1,,5,2,2
Sananduva,1,1,1,52,2,2,1,0,0,0,0,1,"1,5",18,40,11,2,2,1,,1,2,2
Ibirubá,2,1,2,38,2,2,1,0,0,0,0,1,5,18,48,20,1,1,1,,6,1,2
Passo Fundo,1,3,3,40,2,3,0,0,0,0,1,1,16,18,8,120,1,1,1,,6,5,"2,2"
Passo Fundo,1,3,3,31,2,4,0,0,0,1,0,2,1,5,16,120,1,1,1,,5,5,"2,2"
Passo Fundo,1,3,3,29,1,2,0,0,0,0,1,2,4,4,8,120,1,1,1,,6,5,"2,2"
Passo Fundo,1,3,5,45,2,2,0,0,1,0,0,,3,18,22,67,1,1,1,,6,5,"2,2"
Erechim,2,1,5,31,2,1,1,1,1,1,0,2,"0,5",6,40,30,1,1,1,,7,5,"2,2"
Passo Fundo,2,3,2,31,2,3,1,0,1,0,0,2,0,,0,27,2,1,1,,7,5,"2,2"
Ibirubá,1,1,2,42,2,2,1,0,0,0,0,4,2,,40,23,2,1,1,,7,5,"2,2"
Tapejara,1,1,1,42,2,5,1,0,0,0,0,2,1,20,30,20,1,1,1,,7,5,"2,2"
Selbach,1,1,2,,2,2,1,0,1,0,0,1,3,17,20,20,1,1,1,,7,5,"2,2"
Espumoso,1,1,2,46,2,1,1,0,0,0,0,1,7,8,20,20,1,1,1,,6,5,"2,2"
Espumoso,2,1,2,27,2,2,1,0,1,0,0,3,"0,5",7,20,19,1,1,1,,7,5,"2,2"
Erechim,1,1,1,30,2,2,1,0,0,0,0,1,5,7,40,18,2,1,1,,7,5,"2,2"
Estação,2,1,2,46,2,2,1,0,0,0,0,1,27,27,22,15,1,1,1,,6,5,"2,2"
Passo Fundo,1,1,1,32,2,6,1,0,0,0,0,1,1,7,30,7,1,1,1,,7,5,"2,2"
Erechim,1,1,2,33,2,3,1,0,0,0,0,1,3,10,20,,1,1,1,,7,5,"2,2"
Erechim,1,1,2,32,2,6,1,0,1,0,0,1,4,4,40,137,1,1,1,,6,4,"2,2"
Passo Fundo,1,3,4,28,2,1,1,0,0,0,0,1,4,6,40,64,1,1,1,,5,4,"2,2"
Passo Fundo,1,3,4,32,2,5,1,0,0,0,0,1,2,"2,5","25,5",64,1,1,1,,6,4,"2,2"
Passo Fundo,1,3,4,23,2,5,0,0,0,1,0,3,1,1,"27,5",64,1,1,2,30,6,4,"2,2"
Marau,1,1,2,36,2,2,0,1,0,0,0,1,4,10,40,58,2,1,2,10,6,4,"2,2"
Passo Fundo,2,3,4,44,2,3,0,0,0,1,0,1,1,25,47,56,2,1,1,,4,4,"2,2"
Erechim,1,1,2,38,2,2,0,1,1,0,0,1,2,15,40,52,1,1,1,,6,4,"2,2"
Erechim,1,1,2,54,2,1,0,0,1,0,0,1,21,38,20,50,1,1,1,,5,4,"2,2"
Marau,1,1,2,28,2,2,0,1,0,0,0,1,5,6,20,42,1,1,1,,7,4,"2,2"
Ibirubá,1,1,4,54,2,2,0,0,1,1,0,1,5,38,29,36,1,1,2,15,7,4,"2,2"
Erechim,1,1,1,34,2,1,1,0,0,0,0,1,2,16,40,33,1,1,1,,6,4,"2,2"
Erechim,1,1,5,32,1,1,1,1,1,1,0,1,9,10,32,30,1,1,1,,2,4,"2,2"
Estação,1,1,1,31,2,2,1,0,0,0,0,1,"1,2","1,2",44,29,1,1,2,4,7,4,"2,2"
Getúlio Vargas,1,1,2,51,2,2,0,1,1,0,0,1,18,25,20,28,1,1,1,,6,4,"2,2"
Erechim,1,1,1,43,2,2,1,0,0,0,0,1,5,23,40,28,1,1,1,,4,4,"2,2"
Espumoso,1,1,1,45,2,1,1,0,0,0,0,1,12,13,40,26,1,1,2,3,6,4,"2,2"
Getúlio Vargas,2,1,2,33,2,2,0,0,1,0,0,1,8,18,40,25,2,1,1,,7,4,"2,2"
Tapejara,2,1,1,23,2,5,1,1,0,0,0,1,4,7,50,25,1,1,1,,5,4,"2,2"
Ibirubá,1,2,2,46,2,3,0,1,0,0,0,1,2,29,20,23,2,1,1,,5,4,"2,2"
Tapera,1,1,2,40,2,2,1,0,1,0,0,1,19,20,22,22,2,1,1,,7,4,"2,2"
Tapera,1,1,2,46,2,2,0,0,1,0,0,1,11,18,22,21,1,1,1,,5,4,"2,2"
Tapejara,1,1,1,22,2,5,1,0,0,0,0,3,1,2,30,21,1,1,1,,6,4,"2,2"
Passo Fundo,1,1,1,29,2,5,1,0,0,0,0,1,"0,08",6,44,20,1,1,1,,6,4,"2,2"
Tapejara,2,1,2,35,2,2,0,1,0,0,0,2,"0,5",8,40,19,1,1,1,,7,4,"2,2"
Tapejara,1,1,1,56,2,,1,0,0,0,0,1,23,23,30,18,1,1,1,,3,4,"2,2"
Erechim,2,1,1,30,2,2,1,0,1,0,0,1,1,8,40,18,1,1,1,,6,4,"2,2"
Tio Hugo,2,1,2,35,2,2,1,0,1,0,0,1,1,17,20,17,1,1,1,,5,4,"2,2"
Espumoso,1,1,1,44,2,2,1,0,0,0,0,1,5,17,40,17,1,1,1,,6,4,"2,2"
Tio Hugo,1,1,2,34,2,2,1,0,1,0,0,1,1,6,20,17,1,1,1,,6,4,"2,2"
Passo Fundo,1,1,1,36,2,2,1,0,0,0,0,1,5,16,30,16,1,1,2,15,7,4,"2,2"
Passo Fundo,1,1,1,40,2,1,1,0,0,0,0,1,"3,5",10,30,16,1,1,1,,7,4,"2,2"
Passo Fundo,1,1,1,42,2,1,1,0,0,0,0,1,5,7,30,16,1,1,2,5,6,4,"2,2"
Tio Hugo,1,1,1,36,2,2,1,0,0,0,0,1,1,10,40,14,2,1,1,,5,4,"2,2"
Marau,1,1,1,56,2,1,1,0,0,0,0,3,2,30,20,10,1,1,2,4,6,4,"2,2"
Passo Fundo,1,1,1,33,2,1,1,0,0,0,0,1,4,13,30,8,1,1,2,2,5,4,"2,2"
Sananduva,,,,35,2,2,0,1,0,0,0,1,1,13,40,7,2,1,1,,5,4,"2,2"
Ibirubá,1,1,1,41,2,2,1,0,0,0,0,1,4,21,22,4,1,1,2,4,6,4,"2,2"
Ibirubá,1,1,1,30,2,2,1,0,0,0,0,4,3,9,40,3,2,1,1,,6,4,"2,2"
Erechim,1,1,2,25,2,,1,0,1,0,0,2,5,5,20,135,2,1,1,,3,3,"2,2"
Passo Fundo,1,3,5,42,2,2,1,0,0,0,0,,7,17,25,67,2,1,2,15,7,3,"2,2"
Passo Fundo,1,3,5,26,2,1,1,0,1,0,0,1,2,3,15,67,1,1,1,,4,3,"2,2"
Passo Fundo,1,3,4,23,2,6,1,1,1,0,0,2,2,5,30,64,1,1,1,,4,3,"2,2"
Erechim,1,1,2,26,2,2,0,0,1,0,0,1,5,6,40,60,1,1,2,15,6,3,"2,2"
Erechim,1,1,2,36,2,2,0,1,1,0,0,1,6,6,40,60,2,1,1,,6,3,"2,2"
Marau,1,1,2,45,2,1,1,0,1,0,0,2,"0,08",5,20,42,1,1,1,,6,3,"2,2"
Passo Fundo,1,1,2,36,2,2,0,1,1,0,0,1,5,14,40,39,1,1,1,,6,3,"2,2"
Marau,2,,,25,1,6,0,1,0,0,0,1,"0,5","0,5",40,38,1,1,1,,3,3,"2,2"
Tapejara,1,1,2,49,2,2,0,1,1,0,0,1,1,27,,37,2,1,1,,5,3,"2,2"
Erechim,1,1,1,48,2,2,1,0,0,0,0,1,4,14,20,33,1,1,2,4,6,3,"2,2"
Passo Fundo,1,1,2,50,2,3,0,1,0,0,0,1,15,25,20,32,1,1,1,,5,3,"2,2"
Erechim,1,1,5,33,1,2,1,1,1,1,0,1,8,15,40,30,1,1,1,,3,3,"2,2"
Erechim,1,1,5,55,2,4,0,0,0,0,0,1,25,30,40,28,1,1,1,,3,3,"2,2"
Ibiaçá,1,2,3,30,2,1,0,1,0,1,0,3,3,7,37,27,1,1,2,3,4,3,"2,2"
Erechim,1,1,1,37,2,1,1,0,0,0,0,1,1,5,8,23,1,1,,180,4,3,"2,2"
Passo Fundo,1,1,2,49,1,2,0,1,0,0,0,1,14,19,20,20,1,1,1,,6,3,"2,2"
Espumoso,1,1,2,46,2,1,0,1,0,1,0,1,9,9,20,19,2,1,1,,6,3,"2,2"
Passo Fundo,1,1,1,34,2,1,1,0,0,0,0,1,2,15,30,16,1,1,2,15,7,3,"2,2"
Passo Fundo,1,1,2,55,2,1,0,1,1,0,0,1,26,26,20,15,,1,1,,5,3,"2,2"
Passo Fundo,1,1,1,29,2,1,1,0,0,0,0,1,4,6,44,15,1,1,1,,7,3,"2,2"
Passo Fundo,2,1,1,37,2,1,1,0,1,0,0,1,"1,6",20,30,14,1,1,1,,5,3,"2,2"
Tio Hugo,1,1,1,36,2,2,1,0,0,0,0,1,5,9,40,14,1,1,1,,6,3,"2,2"
Passo Fundo,1,1,1,59,2,2,1,0,0,0,0,1,1,8,30,14,1,1,1,,6,3,"2,2"
Passo Fundo,1,1,1,34,2,2,1,0,0,0,0,1,5,6,30,13,1,2,2,2,6,3,"2,2"
Tapejara,2,1,2,35,2,6,1,1,1,0,0,,"0,1","0,1",24,13,1,1,1,,4,3,"2,2"
Sananduva,1,1,2,57,2,2,0,1,0,0,0,1,10,,15,11,1,1,1,,6,3,"2,2"
Ibirubá,2,1,1,53,2,1,1,0,0,0,0,1,5,9,22,6,1,1,1,,4,3,"2,2"
Passo Fundo,1,3,3,43,2,2,0,0,0,0,1,3,15,15,6,120,1,1,2,15,6,2,"2,2"
Erechim,2,1,2,38,2,3,0,1,0,0,0,1,8,16,20,80,2,1,1,,6,2,"2,2"
Passo Fundo,1,3,5,33,2,6,0,0,1,0,0,,5,10,31,67,1,1,1,,6,2,"2,2"
Passo Fundo,1,3,4,27,2,7,0,1,0,0,0,1,1,5,25,56,1,1,1,,6,2,"2,2"
Chapada,1,2,3,52,2,2,,,,,0,1,20,26,20,54,1,1,1,,6,2,"2,2"
Passo Fundo,2,1,2,56,2,2,0,0,1,0,0,1,0,28,40,39,1,1,1,,3,2,"2,2"
Marau,2,1,2,43,2,2,1,1,1,0,0,1,3,10,20,35,1,1,1,,6,2,"2,2"
Getúlio Vargas,2,1,1,23,2,2,1,0,0,0,0,2,"0,6",4,20,30,1,1,2,15,2,2,"2,2"
Getúlio Vargas,1,1,2,50,2,2,0,0,1,0,0,1,8,31,40,28,2,1,1,,4,2,"2,2"
Passo Fundo,2,1,2,65,1,1,0,1,1,0,0,1,4,25,20,20,1,1,1,,5,2,"2,2"
Passo Fundo,1,1,1,37,2,2,1,0,0,0,0,1,11,20,30,15,2,1,1,,6,2,"2,2"
Marau,2,1,2,57,2,3,0,0,1,0,0,1,10,20,40,47,1,2,2,10,1,1,"2,2"
Passo Fundo,2,1,2,43,2,2,0,1,1,0,0,1,3,15,40,32,1,1,1,,3,1,"2,2"
Passo Fundo,1,3,2,28,1,5,1,0,1,0,0,1,"0,5","0,5",9,27,1,1,1,,7,1,"2,2"
Sananduva,2,2,3,42,2,7,0,1,0,1,0,1,14,16,40,57,1,1,1,,7,4,"2,25"
Chapada,1,1,2,44,2,1,0,0,1,0,0,1,4,23,20,36,1,1,1,,5,4,"2,25"
Tapejara,1,1,1,38,2,1,1,0,0,0,0,1,5,7,30,18,1,1,1,,6,4,"2,25"
Passo Fundo,1,1,2,52,2,2,0,1,1,0,0,1,16,33,40,32,1,1,1,,5,3,"2,25"
Passo Fundo,1,1,2,59,2,2,0,1,0,0,0,1,6,30,20,15,1,1,1,,6,3,"2,25"
Sananduva,1,1,2,39,2,2,1,0,0,0,0,1,4,9,20,,1,1,2,60,4,2,"2,25"
Passo Fundo,2,3,3,32,1,4,0,1,0,1,0,1,1,7,20,120,1,1,1,,3,5,"2,4"
Passo Fundo,1,3,4,58,2,2,1,1,1,1,0,3,19,35,40,64,2,1,1,,5,5,"2,4"
Passo Fundo,1,3,4,,1,3,0,1,1,1,0,1,17,20,25,64,1,1,2,15,6,5,"2,4"
Passo Fundo,2,3,4,29,2,6,0,0,1,0,0,1,3,2,25,56,1,1,1,,6,5,"2,4"
Chapada,1,2,3,41,2,2,0,0,0,1,0,1,17,24,20,54,1,1,1,,5,5,"2,4"
Marau,2,1,2,32,2,2,0,1,0,1,0,2,"0,5",15,60,42,1,1,1,,5,5,"2,4"
Marau,2,1,2,32,2,2,1,0,1,0,0,1,"0,7",7,40,42,1,1,1,,5,5,"2,4"
Marau,2,,,40,2,2,0,1,0,1,0,1,1,15,20,38,1,1,1,,7,5,"2,4"
Marau,1,,,31,2,2,0,1,0,0,0,1,5,8,40,38,1,1,1,,5,5,"2,4"
Espumoso,1,1,2,68,2,1,0,1,0,0,0,1,15,17,,30,1,2,1,,7,5,"2,4"
Getúlio Vargas,1,1,2,40,2,2,0,1,0,0,0,2,1,4,20,28,1,1,1,,7,5,"2,4"
Passo Fundo,2,1,2,50,2,2,0,1,1,0,0,1,8,32,15,17,1,1,1,,7,5,"2,4"
Tio Hugo,1,1,2,36,2,2,0,1,1,0,0,1,17,17,40,17,2,1,1,,7,5,"2,4"
Estação,2,1,2,34,2,2,0,0,1,0,0,1,4,15,20,17,2,1,1,,6,5,"2,4"
Tio Hugo,2,1,2,38,1,2,0,1,0,0,0,1,13,15,34,17,1,1,1,,6,5,"2,4"
Marau,1,1,1,35,2,1,1,0,0,0,0,1,4,4,40,17,1,1,1,,4,5,"2,4"
Espumoso,1,1,1,55,2,6,1,0,0,0,0,1,9,25,40,15,1,1,1,,7,5,"2,4"
Passo Fundo,2,1,1,32,2,1,1,0,1,0,0,1,3,16,50,15,1,1,1,,7,5,"2,4"
Passo Fundo,1,1,1,24,2,2,1,0,0,0,0,1,4,5,44,15,1,1,1,,6,5,"2,4"
Passo Fundo,1,1,1,29,2,2,1,0,0,0,0,1,2,13,30,10,1,1,1,,6,5,"2,4"
Passo Fundo,2,1,1,31,2,1,1,0,0,0,0,1,1,6,30,10,,1,1,,7,5,"2,4"
Ibirubá,1,1,1,48,2,1,1,0,0,0,0,4,28,28,,3,2,1,1,,7,5,"2,4"
Sananduva,1,,,38,2,2,0,1,0,0,0,1,12,13,,,2,1,1,,5,5,"2,4"
Passo Fundo,2,3,4,28,1,1,1,0,1,1,0,1,"1,5",5,25,64,1,1,1,,6,4,"2,4"
Marau,1,1,2,40,2,1,0,1,0,0,0,1,1,9,40,58,2,1,1,,5,4,"2,4"
Passo Fundo,1,3,4,35,2,2,1,0,0,0,0,1,5,10,22,56,1,1,1,,7,4,"2,4"
Erechim,2,1,2,,2,2,0,1,0,0,0,1,"3,5",15,20,52,2,1,1,,5,4,"2,4"
Erechim,2,1,2,31,2,1,0,1,0,0,0,1,7,9,40,50,2,1,1,,6,4,"2,4"
Erechim,2,1,2,31,2,2,0,1,1,0,0,1,6,8,40,50,1,1,1,,5,4,"2,4"
Marau,2,1,2,27,2,2,0,1,0,1,0,1,2,2,60,47,1,1,1,,7,4,"2,4"
Marau,1,1,2,52,2,6,0,0,1,0,0,1,1,11,40,42,2,1,1,,6,4,"2,4"
Tapejara,1,1,2,35,2,2,0,0,1,0,0,2,"0,3",5,20,40,1,1,1,,6,4,"2,4"
Passo Fundo,2,1,2,50,2,6,0,0,1,0,0,1,4,30,20,39,1,1,2,120,5,4,"2,4"
Getúlio Vargas,2,1,1,40,2,2,1,0,1,0,0,1,4,13,40,39,1,1,1,,6,4,"2,4"
Passo Fundo,1,1,2,36,2,2,0,1,0,0,0,1,7,12,20,37,2,1,1,,6,4,"2,4"
Tapejara,1,1,2,45,2,2,0,0,1,0,0,1,10,10,20,37,1,1,1,,7,4,"2,4"
Espumoso,2,1,2,40,2,2,0,1,1,0,0,1,13,18,40,36,2,1,1,,6,4,"2,4"
Espumoso,2,1,2,38,2,3,0,1,0,0,0,1,17,17,20,36,1,1,1,,6,4,"2,4"
Marau,2,1,2,63,2,2,0,0,1,1,0,1,1,15,20,35,2,1,2,1,6,4,"2,4"
Marau,2,1,1,37,2,2,1,0,0,0,0,1,4,4,40,26,1,1,1,,6,4,"2,4"
Ibirubá,1,2,2,41,2,1,0,1,0,1,0,1,7,15,60,23,2,1,2,5,7,4,"2,4"
Ibirubá,2,1,2,27,2,2,0,0,1,0,0,2,4,6,20,23,2,1,1,,6,4,"2,4"
Passo Fundo,1,1,2,51,2,2,0,1,1,0,0,1,25,30,,20,2,1,1,,6,4,"2,4"
Tapejara,1,1,2,48,2,2,0,1,1,0,0,1,2,27,40,20,2,2,1,45,3,4,"2,4"
Passo Fundo,2,1,1,41,2,2,1,0,0,0,0,1,"0,08",15,6,20,1,1,1,,6,4,"2,4"
Passo Fundo,1,1,1,37,2,2,1,0,0,0,0,1,"0,08",,30,20,1,1,2,,4,4,"2,4"
Passo Fundo,1,1,2,67,2,2,0,1,0,0,0,1,13,43,20,18,1,1,1,,6,4,"2,4"
Erechim,1,1,1,25,2,6,1,0,0,0,0,1,3,7,40,18,1,1,1,,7,4,"2,4"
Passo Fundo,1,1,2,50,2,1,0,0,1,0,0,1,4,5,20,18,1,1,1,,5,4,"2,4"
Taquaruçu do Sul,2,1,2,45,2,2,0,1,1,0,0,1,28,28,20,17,2,1,1,,7,4,"2,4"
Espumoso,1,1,1,38,2,2,1,0,1,0,0,1,10,14,20,17,2,1,1,,6,4,"2,4"
Espumoso,1,1,1,42,2,1,1,0,0,0,0,1,5,6,40,17,2,1,2,2,7,4,"2,4"
Erechim,1,1,3,34,2,2,0,1,0,0,0,1,2,15,20,15,1,1,1,,6,4,"2,4"
Passo Fundo,1,1,1,48,2,2,1,0,0,0,0,1,11,33,8,14,2,1,1,,6,4,"2,4"
Taquaruçu do Sul,2,,,41,2,2,1,0,1,0,0,2,4,6,20,14,1,1,2,7,5,4,"2,4"
Selbach,1,1,1,50,2,1,1,0,0,0,0,1,5,32,40,11,2,1,1,,6,4,"2,4"
Sananduva,1,1,1,32,2,2,1,0,0,0,0,1,"0,1",5,20,11,1,1,1,,7,4,"2,4"
Passo Fundo,2,1,1,34,2,2,1,0,1,0,0,1,"1,5",4,30,10,1,1,1,,7,4,"2,4"
Sananduva,1,1,2,52,2,2,0,1,0,0,0,1,21,30,20,9,2,1,2,10,5,4,"2,4"
Passo Fundo,1,1,1,32,2,6,1,0,0,0,0,1,5,16,30,9,1,1,1,,6,4,"2,4"
Tio Hugo,2,1,2,35,2,2,1,0,0,0,0,1,1,15,20,9,,1,1,,6,4,"2,4"
Passo Fundo,1,1,1,42,2,1,1,0,0,0,0,1,,,44,9,1,1,1,,3,4,"2,4"
Passo Fundo,1,1,1,47,2,1,1,0,0,0,0,1,5,3,6,7,2,1,1,,5,4,"2,4"
Passo Fundo,1,3,3,32,1,2,0,0,0,0,1,1,4,8,6,120,1,1,1,,5,3,"2,4"
Sananduva,1,1,3,53,1,2,0,1,1,0,0,1,18,31,40,57,2,1,1,,4,3,"2,4"
Passo Fundo,1,3,4,45,2,2,0,1,0,0,0,1,3,15,25,56,1,2,1,,5,3,"2,4"
Tapejara,1,1,5,45,1,2,0,1,0,0,0,1,4,16,20,37,1,1,1,,6,3,"2,4"
Espumoso,1,1,2,47,2,1,0,1,0,0,0,1,19,19,20,36,1,1,1,,5,3,"2,4"
Erechim,1,1,5,58,2,2,0,0,0,0,0,1,31,31,32,30,2,1,1,,5,3,"2,4"
Espumoso,1,1,1,47,2,1,1,0,0,0,0,1,5,28,20,26,1,1,1,,6,3,"2,4"
Marau,1,1,1,37,2,2,1,0,0,0,0,1,7,10,40,26,1,1,1,,6,3,"2,4"
Selbach,2,1,2,37,2,2,0,0,1,0,0,1,1,16,40,20,1,1,1,,5,3,"2,4"
Tapejara,1,1,1,37,2,5,1,0,0,0,0,2,3,13,30,20,1,1,1,,7,3,"2,4"
Tapejara,2,1,2,38,2,2,0,0,1,0,0,1,"0,5",16,40,19,1,1,1,,6,3,"2,4"
Passo Fundo,1,1,2,40,2,2,0,0,1,0,0,1,11,15,20,18,2,1,1,,5,3,"2,4"
Passo Fundo,1,1,1,26,2,1,1,0,1,0,0,1,5,9,44,18,1,1,1,,6,3,"2,4"
Passo Fundo,2,1,2,40,2,2,1,0,1,0,0,1,5,8,4,18,1,1,1,,6,3,"2,4"
Estação,2,1,2,38,2,2,0,0,1,0,0,1,1,16,20,17,2,1,1,,4,3,"2,4"
Passo Fundo,1,1,1,38,2,2,1,0,0,0,0,1,5,,30,13,1,1,2,45,6,3,"2,4"
Ibirubá,2,1,1,38,2,1,1,0,0,0,0,1,4,,44,5,1,1,2,140,6,3,"2,4"
Chapada,1,2,3,51,2,2,0,1,1,1,0,1,15,31,,54,2,1,2,45,6,2,"2,4"
Passo Fundo,2,1,2,36,2,2,1,0,1,0,0,1,12,20,12,37,2,1,2,30,7,2,"2,4"
Sananduva,1,1,2,58,2,2,0,0,1,0,0,1,14,27,20,30,1,2,2,2,5,2,"2,4"
Tapejara,1,1,1,40,2,1,1,1,0,0,0,1,1,15,30,21,1,1,1,,6,2,"2,4"
Marau,1,1,1,58,2,2,1,0,0,0,0,1,"0,3",35,20,20,1,1,1,,2,2,"2,4"
Passo Fundo,1,1,1,46,2,2,1,0,0,0,0,1,4,,44,16,1,1,1,,6,2,"2,4"
Tapejara,2,1,2,49,2,2,0,1,0,0,0,1,26,26,40,40,1,1,1,,3,1,"2,4"
Erechim,1,1,2,35,2,1,1,0,0,0,0,1,2,9,40,137,1,1,2,30,5,4,"2,5"
Erechim,1,1,2,42,2,2,0,1,1,0,0,1,23,24,40,52,2,1,1,,5,4,"2,5"
Ibiaçá,1,2,3,48,2,2,0,1,0,1,0,1,15,23,27,27,1,1,1,,6,4,"2,5"
Passo Fundo,1,1,1,28,2,2,1,0,0,0,0,1,10,10,30,11,1,1,1,,6,4,"2,5"
Erechim,1,1,2,41,2,2,0,1,1,0,0,1,3,20,20,137,1,1,1,,4,3,"2,5"
Marau,1,1,1,51,2,2,1,0,0,0,0,1,2,2,20,17,1,1,1,,6,2,"2,5"
Erechim,1,1,2,45,1,1,0,1,1,0,0,1,2,22,40,71,1,1,1,,7,5,"2,6"
Passo Fundo,1,3,4,44,2,1,1,0,0,0,0,1,8,4,20,64,2,1,1,,6,5,"2,6"
Passo Fundo,1,3,4,29,1,5,,,,,0,1,10,,6,64,1,1,1,,4,5,"2,6"
Erechim,1,1,2,43,2,2,1,0,0,0,0,1,4,24,40,50,1,1,1,,1,5,"2,6"
Marau,2,1,2,23,2,1,0,1,0,0,0,2,1,6,20,47,1,1,2,2,4,5,"2,6"
Getúlio Vargas,1,1,2,50,2,1,0,0,1,0,0,1,19,20,20,28,1,1,1,,4,5,"2,6"
Ibiaçá,1,2,3,58,1,2,0,1,0,0,0,1,8,27,20,27,1,1,1,,6,5,"2,6"
Sananduva,1,1,2,35,2,2,1,0,1,0,0,1,10,10,40,27,1,1,2,180,6,5,"2,6"
Passo Fundo,1,1,2,46,2,2,0,1,0,0,0,1,2,9,20,23,1,1,1,,5,5,"2,6"
Espumoso,2,1,2,38,2,2,0,0,1,0,0,3,"0,5","0,5",20,19,1,1,1,,6,5,"2,6"
Passo Fundo,1,1,2,52,2,2,0,1,1,0,0,1,12,32,,17,2,1,1,,6,5,"2,6"
Taquaruçu do Sul,1,,,40,2,2,1,0,0,0,0,1,9,13,22,14,1,1,1,,6,5,"2,6"
Passo Fundo,1,1,1,47,2,2,1,0,0,0,0,,14,25,40,12,,1,1,,7,5,"2,6"
Ibirubá,1,1,1,44,2,2,1,0,0,0,0,1,6,10,22,4,1,1,1,,7,5,"2,6"
Erechim,1,1,2,50,2,2,1,0,0,0,0,1,"3,5","3,5",20,71,1,1,1,,6,4,"2,6"
Passo Fundo,2,3,4,39,2,2,0,0,1,0,0,1,17,23,35,56,1,1,1,,6,4,"2,6"
Sananduva,1,1,2,32,2,2,0,0,1,0,0,1,6,8,20,38,1,1,2,22,6,4,"2,6"
Tapejara,1,1,2,50,2,2,0,0,1,0,0,1,11,31,20,37,1,2,2,,6,4,"2,6"
Espumoso,1,1,2,51,2,1,0,0,1,0,0,1,24,27,20,36,1,1,1,,6,4,"2,6"
