,Idade,Formação,Tempo_Escola,Tempo_profissão,Hrs_semanais,Numero_professores,Supervisiona,Licença_2semanas,Licença_ano,trab1,trab2,trab3,trab4,trab5,trab6,trab7,trab8,trab9,trab10,trab11,trab12,trab13,trab14,trab15,trab16,trab17,trab18,trab19,trab20,trab21,trab22,trab23,trab24,trab25,trab26,trab27,trab28,trab29,trab30,trab31,trab32,atitrab1,atitrab2,atitrab3,atitrab4,atitrab5,atitrab6,atitrab7,atitrab8,atitrab9,atitrab10,atitrab11,atitrab12,atitrab13,atitrab14,atitrab15,atitrab16,atitrab17,atitrab18,atitrab19,atitrab20,be1,be2,be3,be4,be5,be6,be7,be8,be9,be10,be11,be12,be13,be14,be15,be16,be17,be18,be19,bes1,bes2,bes3,bes4,bes5,saude1,saude2,saude3,saude4,MPS,IPPS,IOPS,ISP,CAFC,VSP,ARE,DED,ARS,AED,Engagement,Exaustao,Cinismo,SCV,Saude,Indiv,Populacao,PIB,IDHM,PIBPer,INVperc,Turma,Alunos,Professores,Investimento,TAMesc
1270,34.0,2.0,10.0,12.0,20.0,33.0,1.0,1.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,6.0,6.0,1.0,1.0,1.0,7.0,7.0,7.0,6.0,6.0,4.0,2.0,3.0,4.0,5.0,3.0,2.0,5.0,4.0,3.0,1.0,5.0,5.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,3.0,4.0,6.67,6.0,5.67,6.33,7.0,6.33,4.4,2.4,2.2,4.0,5.56,0.6,1.0,5.4,4.0,293.5,16212.0,27477.200000000008,0.7460000000000001,1.6900000000000002,3069.64,8.0,86.0,20.0,49764934.59000001,1.49
1271,34.0,2.0,5.0,5.0,40.0,33.0,1.0,1.0,1.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,5.0,6.0,5.0,1.0,1.0,1.0,6.0,5.0,6.0,6.0,5.0,5.0,3.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,6.0,6.0,4.0,4.0,3.0,3.0,6.5,5.0,3.0,5.67,5.5,5.67,4.6,2.2,4.4,4.4,5.67,2.0,0.0,5.4,3.5,293.5,16212.0,27477.200000000008,0.7460000000000001,1.6900000000000002,3069.64,8.0,86.0,20.0,49764934.59000001,1.49
1272,46.0,1.0,16.0,24.0,40.0,33.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,6.0,6.0,5.0,6.0,3.0,6.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,0.1,0.0,2.0,1.0,1.0,6.0,2.0,2.0,6.0,2.0,5.0,4.0,2.0,5.0,7.0,4.33,4.67,6.83,7.0,7.0,4.2,2.4,3.4,4.0,5.22,4.6,1.0,3.6,4.0,293.5,16212.0,27477.200000000008,0.7460000000000001,1.6900000000000002,3069.64,8.0,86.0,20.0,49764934.59000001,1.49
1273,32.0,2.0,1.0,9.0,20.0,33.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,2.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,7.0,5.0,5.0,5.0,5.0,7.0,6.67,4.33,5.83,6.0,6.0,4.6,3.6,3.6,4.0,5.78,3.0,0.0,6.2,5.0,293.5,16212.0,27477.200000000008,0.7460000000000001,1.6900000000000002,3069.64,8.0,86.0,20.0,49764934.59000001,1.49
1274,32.0,2.0,0.7,5.0,20.0,33.0,1.0,1.0,1.0,6.0,5.0,6.0,6.0,4.0,4.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,2.0,2.0,2.0,6.0,2.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,4.0,3.0,1.0,4.0,5.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,2.0,5.0,5.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,6.0,3.0,3.0,5.0,6.0,4.0,2.0,2.0,2.0,5.33,5.67,5.33,5.67,4.0,4.33,4.8,1.8,2.0,2.6,5.56,3.0,1.2,4.6,2.5,293.5,16212.0,27477.200000000008,0.7460000000000001,1.6900000000000002,3069.64,8.0,86.0,20.0,49764934.59000001,1.49
1275,29.0,2.0,0.2,7.0,40.0,33.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,6.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,2.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,5.0,3.0,5.0,3.0,0.0,0.0,6.0,6.0,7.0,7.0,6.0,4.0,2.0,2.0,4.0,6.92,6.33,4.67,5.5,6.5,4.67,4.6,3.0,3.8,4.0,5.22,5.0,2.2,6.4,3.0,293.5,16212.0,27477.200000000008,0.7460000000000001,1.6900000000000002,3069.64,8.0,86.0,20.0,49764934.59000001,1.49
1276,23.0,2.0,0.6,4.0,20.0,30.0,1.0,1.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,7.0,6.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,1.0,3.0,5.0,3.0,4.0,3.0,4.0,1.0,1.0,5.0,5.0,4.0,5.0,3.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,3.0,2.0,6.0,1.0,3.0,1.0,2.0,2.0,7.0,6.67,7.0,7.0,6.5,4.0,4.8,2.8,3.2,3.8,5.67,2.2,1.2,3.0,2.0,411.95,100021.6,36262.15699999999,0.7655,0.8360000000000001,3026.559999999999,15.3,468.4,29.6,293004834.43499994,3.370000000000001
1277,52.0,2.0,4.0,10.0,20.0,40.0,1.0,1.0,2.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,5.1,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,6.0,2.0,6.0,6.0,6.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.5,3.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,0.0,0.0,6.0,4.0,4.0,6.0,7.0,4.0,3.0,4.0,4.0,6.58,6.0,6.0,7.0,4.0,6.0,3.4,2.4,4.2,4.0,5.13,5.2,3.6,5.4,3.75,468.3,95266.3,39454.023,0.7668,1.8189999999999997,3519.1829999999995,15.1,289.2,19.9,285334289.191,2.443
1278,37.0,2.0,9.0,18.0,40.0,30.0,1.0,1.0,1.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,5.0,5.0,5.0,6.0,3.0,4.0,4.0,2.0,2.0,3.0,5.0,2.0,2.0,3.5,3.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,3.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,6.42,6.67,5.33,6.0,6.0,6.0,4.4,3.0,3.0,3.75,5.33,3.0,1.0,5.0,3.0,376.95,54488.4,36727.074,0.7605000000000001,2.274,3571.579,17.8,264.7,25.1,167384239.99199995,2.66
1279,33.0,2.0,1.0,12.0,20.0,30.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,1.0,1.0,1.0,7.0,7.0,7.0,6.0,7.0,5.0,1.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,1.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,6.83,7.0,6.67,4.0,1.6,4.2,4.4,5.89,1.0,0.0,6.6,5.0,476.5133333333333,63391.5,36208.92273333333,0.7613600000000001,1.5277333333333334,3382.7606,16.9,301.6,25.7,192965397.49779996,2.813
