Código;Município;escola1;Numero_escolas_trabalha;Escola_resp_Quest;Tipo_escola;Niveis_escola;Idade;Sexo;Formação;Área_Ed_Inf;Área_EF_finais;Área_EF_iniciais;Área_Ens_Médio;Área_Ens_Téc;Contrato;Outro_qual;Tempo_Escola;Tempo_profissão;Hrs_semanais;Numero_professores;Supervisiona;Licença_2semanas;Porquê_A;Licença_ano;Quantotempo;Porquê_B;trab1;trab2;trab3;trab4;trab5;trab6;trab7;trab8;trab9;trab10;trab11;trab12;trab13;trab14;trab15;trab16;trab17;trab18;trab19;trab20;trab21;trab22;trab23;trab24;trab25;trab26;trab27;trab28;trab29;trab30;trab31;trab32;atitrab1;atitrab2;atitrab3;atitrab4;atitrab5;atitrab6;atitrab7;atitrab8;atitrab9;atitrab10;atitrab11;atitrab12;atitrab13;atitrab14;atitrab15;atitrab16;atitrab17;atitrab18;atitrab19;atitrab20;be1;be2;be3;be4;be5;be6;be7;be8;be9;be10;be11;be12;be13;be14;be15;be16;be17;be18;be19;bes1;bes2;bes3;bes4;bes5;saude1;saude2;saude3;saude4;MPS;IPPS;IOPS;ISP;CAFC;VSP;ARE;DED;ARS;AED;Engagement;Exaustao;Cinismo;SCV;Saude
ISIV208;Passo Fundo;E.M.E.F. Fredolino Chimango;1;E.M.E.F. Fredolino Chimango;1;2;51;2;2;0;1;0;0;0;1;;5,000000000000000;30,000000000000000;20,000000000000000;13;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;6;7;7;6;6;5;5;4;6;6;6;6;6;6;1;1;1;6;6;5;5;6;5;4;4;4;4;4;3;5;4;4;2;4;4;5;3;4;2;3;4;4;6;6;5;5;6;5;6;6;6;4;5;3;2;3;4;5;6;2;0;6;5;6;6;7;4;4;4;4;6,92;6,33;4,67;6,00;6,00;5,33;3,80;4,00;3,20;4,20;5,67;3,40;3,40;6,00;4,00
ISPE580;Passo Fundo;E.M.E.I. Fofão;1;E.M.E.I. Fofão;1;1;48;2;2;1;0;0;0;0;1;;11,000000000000000;33,000000000000000;8,000000000000000;14;2;1;;1;;;7;7;7;7;6;7;7;7;7;7;7;7;7;6;6;6;5;7;7;7;7;7;7;7;1;#NULO!;2;7;7;5;4;6;5;2;3;4;3;2;3;5;4;2;4;5;4;1;2;5;4;2;5;4;5;5;6;5;6;6;6;6;5;5;3;2;1;1;0;0;0;1;1;6;5;6;6;6;4;3;4;4;6,92;6,33;6,00;7,00;7,00;5,00;4,00;1,80;3,40;4,60;5,56;2,40;0,40;5,80;3,75
ISRA550;Passo Fundo;E.M.E.I. Fofão;2;E.M.E.I. Fofão;1;1;51;2;2;1;0;1;0;0;1;;2,000000000000000;17,000000000000000;50,000000000000000;14;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;5;6;7;6;6;6;6;2;1;1;6;5;6;6;6;5;4;2;5;5;5;3;4;5;5;1;3;5;5;5;4;4;4;4;3;6;6;6;5;6;5;6;6;6;0;6;1;1;1;1;0;6;0;0;6;2;5;5;6;2;3;3;2;7,00;7,00;5,67;6,17;5,50;6,00;4,80;4,60;3,00;3,80;5,78;1,80;1,40;4,80;2,50
IVAJV21;Passo Fundo;E.M.E.I. Cantinho Feliz;1;E.M.E.I. Cantinho Feliz;1;1;46;2;2;1;0;0;0;0;1;;4,000000000000000;#NULO!;44,000000000000000;16;1;1;;1;;;7;7;7;7;6;6;7;7;7;7;7;7;7;6;2;2;6;5;6;6;6;6;5;6;2;1;1;7;7;6;5;6;5;2;3;#NULO!;2;3;2;3;#NULO!;5;3;3;5;5;2;2;2;3;5;4;5;6;0;#NULO!;6;5;6;6;5;1;5;5;0;1;0;0;6;0;0;6;6;6;7;7;2;3;4;2;6,83;5,00;4,33;5,83;7,00;5,67;3,50;3,60;3,00;3,00;4,88;2,40;1,20;6,40;2,75
IVAN361;Passo Fundo;E.M.E.I. Cantinho da Ritinha;1;E.M.E.I. Cantinho da Ritinha;1;1;42;2;2;1;0;0;0;0;1;;2,000000000000000;12,000000000000000;30,000000000000000;10;#NULO!;1;;2;3;PNEUMONIA;7;7;7;7;7;7;6;6;7;7;7;7;7;7;5;6;7;7;7;6;7;7;7;6;1;6;1;6;6;5;5;6;5;1;5;4;5;1;1;4;5;3;3;4;4;3;1;4;1;3;3;4;5;6;6;5;6;6;6;6;5;3;5;3;3;3;0;0;0;0;0;6;6;6;6;6;4;3;3;3;6,83;6,33;6,67;6,67;6,00;5,33;4,00;2,20;2,60;4,00;5,67;3,40;0,00;6,00;3,25
IVEW679;Passo Fundo;E.M.E.F. Escola do Hoje;1;E.M.E.F. Escola do Hoje;1;2;45;2;2;0;0;1;0;0;1;;4,000000000000000;#NULO!;40,000000000000000;23;1;1;;1;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;2;2;6;6;6;6;6;5;2;2;4;5;2;3;4;5;2;3;4;5;4;4;4;4;3;5;5;5;6;5;5;5;5;5;6;6;4;4;5;6;3;1;1;6;1;1;4;3;2;2;2;2;3;3;3;6,00;6,00;6,00;6,00;6,00;6,00;4,80;2,60;3,40;4,20;5,33;4,40;2,00;2,60;2,75
IVFL951;Passo Fundo;E.M.E.I. Nossa Senhora das Graças;1;E.M.E.I. Nossa Senhora das Graças;1;1;31;2;2;1;0;0;0;0;1;;5,000000000000000;13,000000000000000;30,000000000000000;13;1;1;;1;;;6;7;7;7;5;5;5;5;7;7;6;7;5;5;4;7;7;6;7;6;6;6;6;7;1;1;1;6;6;5;3;3;5;3;3;2;3;3;2;3;5;2;1;3;5;1;5;1;5;2;5;3;5;5;4;5;5;5;5;6;5;6;6;4;3;4;0;0;0;0;1;5;5;5;5;3;4;3;4;4;6,17;4,67;6,67;6,33;6,00;3,67;4,60;2,20;3,20;2,40;5,00;4,60;0,20;4,60;3,75
IVHI692;Passo Fundo;E.M.E.F. Santo Antônio;1;E.M.E.F. Santo Antônio;1;2;39;2;2;0;0;1;0;0;1;;16,000000000000000;18,000000000000000;20,000000000000000;35;2;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;4;7;7;7;7;7;7;7;7;1;1;1;7;7;7;7;7;5;1;5;5;5;1;5;5;5;5;4;2;5;5;5;5;4;2;5;5;6;6;6;1;6;6;6;6;6;2;6;1;0;1;0;0;0;0;0;4;6;6;6;6;3;2;3;5;7,00;6,33;6,00;7,00;7,00;7,00;4,80;2,80;4,80;4,40;5,44;2,00;0,00;5,60;3,25
IVJO018;Passo Fundo;E.M.E.I. Nossa Senhora das Graças;1;E.M.E.I. Nossa Senhora das Graças;1;1;25;2;2;1;0;0;0;0;1;;5,000000000000000;8,000000000000000;30,000000000000000;13;1;1;;1;;;6;6;6;6;5;5;6;6;7;7;5;6;7;5;5;6;5;5;6;6;6;5;5;6;1;1;1;5;5;6;6;6;5;2;2;5;5;2;1;3;3;4;2;3;5;4;4;4;4;2;3;3;5;5;6;5;5;6;5;6;4;4;5;4;0;4;1;1;5;4;3;6;6;6;6;5;4;3;4;3;5,92;5,67;5,33;5,67;5,00;6,00;4,40;2,80;2,40;3,60;5,22;3,40;2,80;5,80;3,50
IVJO165;Passo Fundo;E.M.E.I. Nossa Senhora das Graças;1;E.M.E.I. Nossa Senhora das Graças;1;1;38;2;2;1;0;0;0;0;1;;5,000000000000000;5,000000000000000;#NULO!;13;2;1;;1;;;7;7;7;7;6;6;6;7;7;7;7;7;7;7;5;5;6;6;7;7;6;5;6;6;1;1;1;7;7;6;6;6;5;3;2;2;3;3;#NULO!;2;3;3;#NULO!;2;5;3;4;#NULO!;3;3;4;3;5;5;5;5;5;6;6;6;5;3;2;1;0;1;0;0;1;0;0;6;5;5;6;6;4;3;4;4;6,75;6,33;5,67;6,17;7,00;6,00;3,80;3,00;3,33;2,25;5,33;1,40;0,20;5,60;3,75
