Código;Município;escola1;Numero_escolas_trabalha;Escola_resp_Quest;Tipo_escola;Niveis_escola;Idade;Sexo;Formação;Área_Ed_Inf;Área_EF_finais;Área_EF_iniciais;Área_Ens_Médio;Área_Ens_Téc;Contrato;Outro_qual;Tempo_Escola;Tempo_profissão;Hrs_semanais;Numero_professores;Supervisiona;Licença_2semanas;Porquê_A;Licença_ano;Quantotempo;Porquê_B;trab1;trab2;trab3;trab4;trab5;trab6;trab7;trab8;trab9;trab10;trab11;trab12;trab13;trab14;trab15;trab16;trab17;trab18;trab19;trab20;trab21;trab22;trab23;trab24;trab25;trab26;trab27;trab28;trab29;trab30;trab31;trab32;atitrab1;atitrab2;atitrab3;atitrab4;atitrab5;atitrab6;atitrab7;atitrab8;atitrab9;atitrab10;atitrab11;atitrab12;atitrab13;atitrab14;atitrab15;atitrab16;atitrab17;atitrab18;atitrab19;atitrab20;be1;be2;be3;be4;be5;be6;be7;be8;be9;be10;be11;be12;be13;be14;be15;be16;be17;be18;be19;bes1;bes2;bes3;bes4;bes5;saude1;saude2;saude3;saude4;MPS;IPPS;IOPS;ISP;CAFC;VSP;ARE;DED;ARS;AED;Engagement;Exaustao;Cinismo;SCV;Saude
SALU359;Getúlio Vargas;E.M.E.I. Olívio casteli;2;E.M.E.I. Olívio casteli;1;1;43;2;8;1;0;0;0;0;1;;6,00;24,00;20,0;#NULO!;2;1;;2;MUITOS;MACHUQUEI JOELHO E TORNOZELO;7;7;7;7;7;7;7;7;7;7;7;7;7;7;1;5;5;4;7;6;7;6;7;6;1;1;1;6;6;6;5;5;5;3;2;3;4;3;1;5;5;4;3;3;4;4;4;5;5;4;5;3;5;3;4;3;6;6;5;6;0;5;6;5;5;5;6;0;0;0;0;6;5;4;5;2;2;4;3;1;7,00;5,00;4,67;6,50;6,00;5,33;4,60;3,60;3,00;3,80;4,22;5,20;1,20;4,40;2,50
ANED351;Getúlio Vargas;E.M.E.I. Olívio casteli;1;E.M.E.I. Olívio casteli;1;1;37;2;2;1;0;0;0;0;1;;5,00;17,00;#NULO!;14;2;1;;1;;;7;7;7;7;6;7;7;7;6;6;7;7;6;5;6;6;5;6;6;7;6;6;5;5;2;2;2;6;6;5;4;5;5;2;4;4;5;3;5;3;5;3;2;3;5;2;5;3;5;1;5;3;5;5;5;5;6;6;5;6;5;6;6;6;6;6;5;6;1;0;3;7;6;6;6;5;5;3;4;4;6,75;5,67;5,67;5,83;6,00;4,67;5,00;2,20;4,20;3,20;5,33;6,00;3,00;6,00;4,00
CLMI061;Getúlio Vargas;E.M.E.I. Olívio casteli;2;E.M.E.I. Olívio casteli;1;1;46;2;2;1;0;0;0;0;1;;5,00;#NULO!;20,0;#NULO!;1;1;;1;;;7;7;7;6;6;6;6;7;7;7;7;7;7;7;7;7;7;6;7;7;6;1;5;7;1;1;1;6;5;5;5;5;1;2;4;5;5;3;5;5;5;4;3;5;5;4;4;4;3;4;3;5;6;6;5;6;6;6;6;6;6;4;5;1;1;3;0;0;0;1;0;5;2;5;5;6;3;2;4;3;6,67;7,00;6,67;5,50;5,50;5,00;3,80;3,40;3,80;4,80;5,89;2,80;0,20;4,60;3,00
CAON220;Getúlio Vargas;E.M.E.I. Olívio casteli;1;E.M.E.I. Olívio casteli;1;1;49;2;2;1;0;0;0;0;1;;5,00;28,00;40,0;#NULO!;1;1;;1;;;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;5;5;5;7;7;7;7;7;5;1;1;1;7;7;7;7;7;5;5;5;5;5;4;5;4;5;5;4;5;5;5;1;5;3;5;5;5;6;6;6;6;6;6;6;6;6;5;5;0;0;0;0;0;0;0;0;6;#NULO!;6;6;6;1;3;1;1;6,92;7,00;5,00;6,67;7,00;7,00;4,60;4,80;4,00;4,80;6,00;2,00;0,00;6,00;1,50
SATR595;Getúlio Vargas;E.M.E.I. Olívio casteli;1;E.M.E.I. Olívio casteli;1;1;53;2;6;1;0;0;0;0;#NULO!;;6,00;29,00;8,0;#NULO!;1;1;;2;;CIRURGIA VARIZES;7;6;6;7;7;7;6;6;6;7;6;6;6;6;6;4;4;3;6;6;6;6;2;#NULO!;2;1;1;1;2;5;4;4;4;4;5;4;4;3;2;4;4;1;2;3;4;3;2;3;3;#NULO!;3;4;3;3;3;1;5;4;6;6;6;4;6;5;5;4;0;0;0;4;4;6;4;7;4;4;2;3;3;3;6,42;6,00;3,67;5,20;1,50;4,33;3,80;2,75;2,80;3,60;4,11;4,80;1,60;5,00;2,75
ROAR117;Getúlio Vargas;E.M.E.I. Olívio casteli;2;E.M.E.I. Olívio casteli;1;1;21;2;5;1;0;1;0;0;2;;3,00;4,00;30,0;#NULO!;1;1;;1;;;7;7;7;7;6;7;6;7;7;7;5;7;7;7;7;4;4;4;6;7;7;6;7;7;1;1;1;4;5;6;6;5;5;3;2;5;5;3;4;5;5;2;5;3;5;5;2;5;3;3;4;3;5;6;5;5;6;5;6;6;0;1;5;1;1;1;0;0;0;0;0;3;3;6;3;6;5;5;5;5;6,67;7,00;4,00;6,67;4,50;5,67;4,60;3,20;3,40;4,20;4,89;1,80;0,00;4,20;5,00
DENE043;Getúlio Vargas;E.M.E.I. Olívio casteli;2;E.M.E.I. Olívio casteli;1;1;40;2;2;1;0;1;0;0;1;;1,00;18,00;40,0;#NULO!;1;1;;2;3 DIAS;CALCULO RENAL;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;7;7;7;7;7;7;1;1;1;7;7;5;7;7;5;3;4;4;5;3;3;4;5;4;5;5;5;3;4;5;4;3;5;5;5;6;6;5;6;6;6;6;6;2;5;4;2;4;0;0;6;0;0;6;6;7;6;6;4;4;4;4;7,00;7,00;6,33;7,00;7,00;6,33;4,80;3,20;4,20;4,60;5,78;3,40;1,20;6,20;4,00
AROE584;Getúlio Vargas;E.M.E.I. Olívio casteli;2;E.M.E.I. Olívio casteli;1;1;42;2;2;1;0;1;0;0;1;;6,00;15,00;40,0;16;1;1;;1;;;7;7;7;7;6;6;6;6;6;6;6;6;7;6;6;4;5;5;6;6;6;6;6;6;1;1;1;6;6;6;6;6;5;2;4;3;4;2;3;4;4;3;2;3;5;3;2;4;3;3;4;4;5;5;0;5;5;5;5;5;5;1;3;3;0;1;0;1;1;0;1;5;4;5;5;5;4;3;4;4;6,33;6,33;4,67;6,00;6,00;6,00;4,20;2,60;3,00;3,60;4,44;1,60;0,60;4,80;3,75
IVAL248;Getúlio Vargas;E.M.E.I. Olívio casteli;1;E.M.E.I. Olívio casteli;1;1;29;2;2;1;0;0;0;0;1;;3,00;#NULO!;#NULO!;#NULO!;2;1;;1;;;7;7;7;6;6;6;6;6;6;6;7;6;7;6;6;6;6;6;6;6;6;6;5;6;1;1;1;6;5;5;5;5;5;3;4;4;4;3;3;3;4;3;3;4;4;2;3;5;2;2;3;2;5;5;5;5;5;5;6;6;5;2;4;1;1;0;0;0;1;0;0;6;6;6;6;5;3;3;3;3;6,33;6,33;6,00;5,83;5,50;5,00;3,80;2,60;3,20;3,60;5,22;1,60;0,20;5,80;3,00
LEON941;Getúlio Vargas;E.M.E.I. Olívio casteli;1;E.M.E.I. Olívio casteli;1;1;46;2;2;1;0;0;0;0;1;;6,00;#NULO!;40,0;16;1;1;;2;;ANSIEDADE, PROBLEMAS DE SAÚDE FAMILIAR;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;7;7;7;7;7;7;1;1;1;7;7;7;5;5;5;2;5;4;5;1;2;3;5;2;2;3;5;2;3;4;3;2;2;5;1;1;5;5;5;5;5;6;5;6;6;6;5;5;#NULO!;2;4;0;0;3;3;3;5;3;2;2;2;2;7,00;7,00;6,33;7,00;7,00;5,67;4,60;1,80;2,80;3,80;4,22;5,60;1,50;3,40;2,00
ANPA708;Passo Fundo;Escola Notre Dame Menino Jesus;1;Escola Notre Dame Menino Jesus;3;5;24;2;2;1;0;0;0;0;1;;0,16;6,00;25,0;60;1;1;;1;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6;#NULO!;#NULO!;6;7;6;6;6;6;6;6;#NULO!;2;1;6;6;6;6;6;5;#NULO!;5;4;5;#NULO!;5;3;5;3;5;5;5;#NULO!;5;5;2;#NULO!;3;4;6;6;6;6;6;6;6;6;5;0;0;0;0;0;0;0;0;0;0;6;#NULO!;7;7;6;3;5;5;4;6,00;6,00;6,50;6,00;6,00;6,00;4,40;3,00;4,60;4,20;5,89;0,00;0,00;6,50;4,25
SCCA465;Passo Fundo;Escola Notre Dame Menino Jesus;2;Escola Notre Dame Menino Jesus;3;5;26;2;3;0;1;0;0;0;1;;0,25;1,00;8,0;#NULO!;1;1;;1;;;7;5;7;7;7;5;7;7;6;6;6;6;4;5;5;2;3;6;6;6;5;5;6;5;1;1;1;3;1;6;6;6;5;3;4;5;5;4;2;3;5;2;4;5;5;3;2;3;3;3;5;4;6;6;5;6;6;6;6;6;6;3;4;2;2;3;0;0;0;0;0;5;4;5;6;5;3;4;4;2;6,33;4,67;3,67;5,50;2,00;6,00;4,60;3,00;3,40;4,00;5,89;2,80;0,00;5,00;3,25
LOAG984;Passo Fundo;Escola Notre Dame Menino Jesus;1;Escola Notre Dame Menino Jesus;3;5;#NULO!;2;1;1;0;0;0;0;1;;2,00;#NULO!;20,0;60;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;7;7;7;7;7;7;7;#NULO!;1;1;1;6;6;6;6;6;4;3;5;4;4;4;4;5;4;2;4;4;3;3;2;5;2;3;4;5;5;5;5;6;5;5;5;6;5;5;6;5;1;5;0;0;1;0;0;6;6;6;6;6;3;3;3;3;7,00;6,67;6,67;7,00;6,00;6,00;3,40;3,00;3,80;4,60;5,22;4,40;0,20;6,00;3,00
GEJO010;Passo Fundo;Escola Notre Dame Menino Jesus;1;Escola Notre Dame Menino Jesus;3;5;34;2;2;1;1;0;0;0;2;;5,00;10,00;40,0;60;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;7;7;7;6;6;6;1;5;#NULO!;7;7;4;6;6;4;3;2;3;4;2;1;2;3;3;3;2;3;3;4;5;1;3;5;5;5;5;5;5;6;#NULO!;6;6;6;4;5;5;3;3;0;0;0;0;0;4;2;2;2;4;2;3;3;3;7,00;7,00;6,00;6,50;7,00;5,33;3,00;2,80;3,00;3,40;5,50;4,00;0,00;2,80;2,75
AGDI671;Passo Fundo;Escola Notre Dame Menino Jesus;2;Escola Notre Dame Menino Jesus;3;5;27;2;6;1;0;1;0;0;1;;3,00;4,00;18,0;60;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;6;5;7;6;6;6;6;6;6;5;5;1;1;1;7;7;6;6;6;5;4;5;4;5;4;4;4;5;2;5;5;4;2;4;3;4;3;5;5;5;6;6;5;6;5;6;6;6;2;3;1;1;1;0;0;1;0;0;6;5;7;7;7;4;4;4;4;7,00;6,00;6,33;5,67;7,00;6,00;4,60;3,00;4,60;4,20;5,67;1,60;0,20;6,40;4,00
SAAR015;Passo Fundo;Escola Notre Dame Menino Jesus;1;Escola Notre Dame Menino Jesus;3;5;40;2;1;0;1;1;1;0;1;;13,00;17,00;33,0;60;1;1;;2;14 DIAS;TRATAMENTO INFERTILIDADE;7;7;7;7;7;7;7;7;7;7;7;7;7;4;6;7;6;6;7;7;6;6;5;6;2;2;2;6;6;6;6;6;4;1;4;4;4;2;2;3;4;2;4;4;3;3;5;5;4;4;5;4;5;6;5;5;6;6;5;6;5;4;5;5;5;5;0;0;0;0;0;4;4;5;6;3;5;3;4;4;7,00;5,67;6,33;6,17;6,00;6,00;3,80;2,40;4,00;4,00;5,44;4,80;0,00;4,40;4,00
MALU621;Passo Fundo;Escola Notre Dame Menino Jesus;1;Escola Notre Dame Menino Jesus;3;5;45;2;2;0;0;1;0;0;1;;16,00;20,00;22,0;60;2;1;;1;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;2;4;4;#NULO!;1;4;4;4;3;4;4;5;4;3;4;4;2;4;4;6;6;6;6;6;6;6;6;6;5;5;5;1;0;0;0;0;0;0;6;6;6;6;6;4;4;4;4;6,00;6,00;6,00;6,00;6,00;6,00;4,25;2,40;3,80;4,00;6,00;3,20;0,00;6,00;4,00
MAR702;Passo Fundo;Escola Notre Dame Menino Jesus;1;Escola Notre Dame Menino Jesus;3;5;42;2;2;0;1;0;0;0;1;;13,00;21,00;22,0;60;2;1;;1;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;2;4;4;4;2;4;4;4;3;3;3;3;3;4;3;2;2;4;4;5;6;6;5;6;5;6;6;5;5;5;1;1;1;0;0;5;1;1;6;6;6;6;4;3;4;4;4;6,00;6,00;6,00;6,00;6,00;6,00;3,40;2,40;3,80;3,60;5,56;2,60;1,40;5,60;3,75
